action_date,count_total_carts,count_total_checkout_attempts,count_successful_checkout_attempts
2022-07-01,12,10,4
2022-07-02,7,6,2
2022-07-03,12,6,2
2022-07-04,8,10,5
2022-07-05,11,4,1
2022-07-06,14,13,3
2022-07-07,6,2,2
2022-07-08,20,11,4
2022-07-09,3,5,3
2022-07-10,6,7,2
2022-07-11,14,8,3
2022-07-12,12,10,5
2022-07-13,13,10,4
2022-07-15,11,11,7
2022-07-16,13,6,2
2022-07-18,24,19,11
2022-07-19,19,15,6
2022-07-20,18,17,6
2022-07-21,13,14,8
2022-07-22,20,11,7
2022-07-23,10,11,4
2022-07-24,13,6,3
2022-07-25,21,26,7
2022-07-26,39,35,13
2022-07-27,30,24,14
2022-07-28,26,21,7
2022-07-29,22,21,8
2022-07-30,7,10,4
2022-07-31,8,8,2
2022-08-01,12,11,1
2022-08-02,12,4,3
2022-08-03,9,6,1
2022-08-04,11,13,6
2022-08-05,12,11,5
2022-08-06,6,5,3
2022-08-07,10,5,4
2022-08-08,13,8,5
2022-08-09,13,7,5
2022-08-10,13,11,4
2022-08-11,13,7,4
2022-08-12,15,3,2
2022-08-13,10,5,4
2022-08-15,15,4,1
2022-08-17,6,5,2
2022-08-18,28,16,7
2022-08-19,15,6,3
2022-08-20,14,6,4
2022-08-21,10,7,3
2022-08-22,17,11,5
2022-08-23,12,8,4
2022-08-24,7,4,2
2022-08-25,9,9,7
2022-08-26,6,3,1
2022-08-27,10,5,4
2022-08-28,8,9,2
2022-08-29,6,8,4
2022-08-30,8,11,6
2022-08-31,13,16,5
2022-09-01,5,10,6
2022-09-02,7,4,2
2022-09-05,4,3,2
2022-09-06,13,9,5
2022-09-07,12,10,1
2022-09-08,11,9,3
2022-09-09,11,5,3
2022-09-10,11,6,2
2022-09-11,7,4,1
2022-09-12,10,7,2
2022-09-14,7,3,1
2022-09-15,9,3,1
2022-09-16,4,3,1
2022-09-18,8,4,2
2022-09-19,20,12,5
2022-09-20,27,21,7
2022-09-21,15,8,3
2022-09-22,24,8,3
2022-09-23,18,19,6
2022-09-24,17,7,2
2022-09-25,12,11,4
2022-09-26,6,13,4
2022-09-27,12,10,2
2022-09-28,31,20,7
2022-09-29,37,33,13
2022-09-30,18,20,8
2022-10-02,6,6,3
2022-10-03,9,7,3
2022-10-04,10,7,2
2022-10-05,7,5,1
2022-10-06,10,5,1
2022-10-07,6,2,1
2022-10-08,4,2,1
2022-10-10,9,6,3
2022-10-11,9,7,1
2022-10-12,12,6,5
2022-10-13,13,7,3
2022-10-14,3,2,1
2022-10-15,4,4,1
2022-10-17,12,5,2
2022-10-18,9,8,3
2022-10-19,6,9,6
2022-10-20,13,10,6
2022-10-21,7,9,4
2022-10-22,6,8,4
2022-10-23,5,3,2
2022-10-24,8,6,1
2022-10-26,15,6,1
2022-10-27,9,7,2
2022-10-28,8,7,5
2022-10-29,9,7,4
2022-10-31,17,7,3
2022-11-02,21,243,2
2022-11-03,37,141,1
2022-11-04,23,49,1
2022-11-05,27,87,1
2022-11-07,40,25,1
2022-11-08,24,23,2
2022-11-09,28,21,1
2022-11-10,25,15,1
2022-11-12,25,14,1
2022-11-14,23,7,1
2022-11-15,34,21,1
2022-11-16,14,8,1
2022-11-17,19,16,2
2022-11-18,31,16,2
2022-11-19,41,17,2
2022-11-20,51,20,3
2022-11-21,253,161,42
2022-11-22,252,175,59
2022-11-23,147,109,42
2022-11-24,130,99,38
2022-11-25,156,121,52
2022-11-26,133,130,57
2022-11-27,179,197,75
2022-11-28,267,310,119
2022-11-29,57,49,17
2022-11-30,80,72,24
2022-12-01,98,105,44
2022-12-02,79,79,34
2022-12-03,15,6,1
2022-12-04,18,7,2
2022-12-05,19,15,6
2022-12-06,19,13,4
2022-12-07,16,9,4
2022-12-08,15,9,3
2022-12-09,17,11,5
2022-12-10,17,11,4
2022-12-12,15,5,2
2022-12-13,14,6,2
2022-12-14,14,8,3
2022-12-15,19,12,4
2022-12-16,20,13,6
2022-12-17,10,8,2
2022-12-18,6,6,2
2022-12-19,17,10,4
2022-12-20,11,13,4
2022-12-21,19,18,6
2022-12-22,13,19,5
2022-12-23,17,7,4
2022-12-24,13,8,1
2022-12-25,13,5,4
2022-12-26,16,9,4
2022-12-27,10,7,3
2022-12-28,7,7,2
2022-12-29,13,9,4
2022-12-30,18,10,6
2023-01-01,12,3,2
2023-01-02,21,12,3
2023-01-03,20,17,8
2023-01-04,23,14,3
2023-01-05,11,14,1
2023-01-06,21,11,5
2023-01-07,15,9,2
2023-01-08,26,14,5
2023-01-09,14,9,6
2023-01-10,29,20,9
2023-01-11,12,6,4
2023-01-12,18,12,3
2023-01-13,16,10,5
2023-01-14,9,6,3
2023-01-15,6,6,2
2023-01-16,17,8,3
2023-01-17,36,27,11
2023-01-18,40,51,20
2023-01-19,63,63,34
2023-01-20,24,25,12
2023-01-21,29,21,7
2023-01-22,21,17,6
2023-01-23,25,26,10
2023-01-24,32,30,5
2023-01-25,34,20,8
2023-01-26,20,15,4
2023-01-27,20,25,6
2023-01-28,27,17,5
2023-01-29,22,19,6
2023-01-30,35,30,15
2023-01-31,35,38,15
